City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tobol,52.6844,62.5794,262.02,99,68,1.97,KZ,1738433540
1,olonkinbyen,70.9221,-8.7187,273.74,94,100,18.98,SJ,1738433541
2,redencao,-4.2258,-38.7306,305.85,40,78,4.59,BR,1738433543
3,udachny,66.4167,112.4,235.75,100,99,2.14,RU,1738433544
4,port-aux-francais,-49.35,70.2167,278.31,78,89,4.34,TF,1738433545
5,waitangi,-43.9535,-176.5597,289.16,97,100,0.89,NZ,1738433546
6,yellowknife,62.456,-114.3525,243.38,92,84,4.47,CA,1738433547
7,port alfred,-33.5906,26.891,294.36,93,6,5.16,ZA,1738433548
8,anadyr,64.75,177.4833,256.43,84,100,2.0,RU,1738433550
9,port elizabeth,-33.918,25.5701,295.55,91,7,1.34,ZA,1738433551
10,chonchi,-42.6128,-73.8092,293.22,41,43,0.49,CL,1738433552
11,drawsko pomorskie,53.5306,15.8097,274.3,90,100,2.67,PL,1738433553
12,petropavlovsk-kamchatsky,53.0452,158.6483,257.83,81,98,5.06,RU,1738433555
13,susuman,62.7833,148.1667,229.23,99,83,0.34,RU,1738433556
14,grytviken,-54.2811,-36.5092,277.93,79,30,6.3,GS,1738433557
15,new norfolk,-42.7826,147.0587,285.88,89,50,1.32,AU,1738433558
16,adamstown,-25.066,-130.1015,297.65,71,87,7.76,PN,1738433559
17,badger,64.8,-147.5333,253.14,78,20,0.0,US,1738433560
18,kirando,-7.4167,30.6,296.95,75,60,1.06,TZ,1738433561
19,porto novo,6.4965,2.6036,301.52,68,52,3.14,BJ,1738433563
20,jaisalmer,26.9147,70.9181,290.58,22,0,3.99,IN,1738433564
21,natal,-5.795,-35.2094,304.51,55,20,6.17,BR,1738433565
22,iqaluit,63.7506,-68.5145,241.9,89,88,6.19,CA,1738433566
23,tiksi,71.6872,128.8694,241.82,99,100,4.41,RU,1738433567
24,kasama,-10.2129,31.1808,290.84,93,75,0.93,ZM,1738433568
25,cholpon-ata,42.6494,77.0823,266.55,54,36,4.43,KG,1738433570
26,klyuchi,52.2667,79.1667,263.17,94,100,6.15,RU,1738433571
27,rexburg,43.826,-111.7897,274.72,100,100,7.72,US,1738433572
28,sinabang,2.4803,96.3801,299.46,80,80,1.97,ID,1738433574
29,mao,39.8885,4.2658,281.46,76,20,3.09,ES,1738433575
30,papatowai,-46.5619,169.4708,283.24,83,80,2.91,NZ,1738433576
31,lihue,21.9789,-159.3672,288.92,88,0,2.06,US,1738433577
32,whitehorse,60.7161,-135.0538,237.59,99,84,1.27,CA,1738433578
33,port mathurin,-19.6833,63.4167,300.49,87,99,10.08,MU,1738433579
34,ylitornio,66.3089,23.6773,268.96,94,90,3.81,FI,1738433581
35,arraial do cabo,-22.9661,-42.0278,303.07,58,40,7.2,BR,1738433582
36,hawaiian paradise park,19.5933,-154.9731,295.87,97,100,2.06,US,1738433371
37,yuzhno-kurilsk,44.0306,145.8556,269.78,74,100,6.86,RU,1738433584
38,hithadhoo,-0.6,73.0833,301.18,77,100,4.25,MV,1738433585
39,tura,25.5198,90.2201,288.78,49,0,1.78,IN,1738433586
40,thompson,55.7435,-97.8558,253.39,86,100,1.78,CA,1738433588
41,jamestown,42.097,-79.2353,265.95,91,40,3.6,US,1738433590
42,enewetak,11.3474,162.3373,299.96,78,63,10.32,MH,1738433591
43,mar del plata,-38.0023,-57.5575,297.64,77,25,6.26,AR,1738433474
44,al ghayzah,16.2079,52.176,292.96,57,1,0.38,YE,1738433593
45,cockburn town,21.4612,-71.1419,298.47,84,0,7.76,TC,1738433594
46,bethel,41.3712,-73.414,273.56,57,0,7.72,US,1738433595
47,sanctuary point,-35.1114,150.629,290.17,96,7,1.93,AU,1738433597
48,meridian,43.6121,-116.3915,279.62,88,100,2.57,US,1738433407
49,tommot,58.9564,126.2925,247.55,99,100,0.61,RU,1738433599
50,cabo san lucas,22.8909,-109.9124,295.66,62,0,1.54,MX,1738433542
51,albany,42.6001,-73.9662,266.8,75,59,4.02,US,1738433603
52,codrington,-38.2667,141.9667,291.88,68,1,3.36,AU,1738433604
53,touros,-5.1989,-35.4608,303.39,57,14,6.11,BR,1738433605
54,lecheng,25.1238,113.3254,283.09,89,100,3.07,CN,1738433606
55,edinburgh of the seven seas,-37.0676,-12.3116,291.13,93,63,6.99,SH,1738433608
56,remire-montjoly,4.9167,-52.2667,303.17,62,75,6.17,GF,1738433609
57,puerto natales,-51.7236,-72.4875,291.4,39,75,8.75,CL,1738433610
58,blackmans bay,-43.0167,147.3167,290.22,83,36,1.23,AU,1738433611
